Category,Sub-Category,Metric,"Anderson County, TN","Bedford County, TN","Benton County, TN","Bledsoe County, TN","Blount County, TN","Bradley County, TN","Campbell County, TN","Cannon County, TN","Carroll County, TN","Carter County, TN","Cheatham County, TN","Chester County, TN","Claiborne County, TN","Clay County, TN","Cocke County, TN","Coffee County, TN","Crockett County, TN","Cumberland County, TN","Davidson County, TN","Decatur County, TN","DeKalb County, TN","Dickson County, TN","Dyer County, TN","Fayette County, TN","Fentress County, TN","Franklin County, TN","Gibson County, TN","Giles County, TN","Grainger County, TN","Greene County, TN","Grundy County, TN","Hamblen County, TN","Hamilton County, TN","Hancock County, TN","Hardeman County, TN","Hardin County, TN","Hawkins County, TN","Haywood County, TN","Henderson County, TN","Henry County, TN","Hickman County, TN","Houston County, TN","Humphreys County, TN","Jackson County, TN","Jefferson County, TN","Johnson County, TN","Knox County, TN","Lake County, TN","Lauderdale County, TN","Lawrence County, TN","Lewis County, TN","Lincoln County, TN","Loudon County, TN","Macon County, TN","Madison County, TN","Marion County, TN","Marshall County, TN","Maury County, TN","McMinn County, TN","McNairy County, TN","Meigs County, TN","Monroe County, TN","Montgomery County, TN","Moore County, TN","Morgan County, TN","Obion County, TN","Overton County, TN","Perry County, TN","Pickett County, TN","Polk County, TN","Putnam County, TN","Rhea County, TN","Roane County, TN","Robertson County, TN","Rutherford County, TN","Scott County, TN","Sequatchie County, TN","Sevier County, TN","Shelby County, TN","Smith County, TN","Stewart County, TN","Sullivan County, TN","Sumner County, TN","Tipton County, TN","Trousdale County, TN","Unicoi County, TN","Union County, TN","Van Buren County, TN","Warren County, TN","Washington County, TN","Wayne County, TN","Weakley County, TN","White County, TN","Williamson County, TN","Wilson County, TN"
"Occupation Metrics","Production Workers, All Other",Males,425.867093717,176.364486565,23.9331072596,,389.345373226,457.637154907,64.5376777993,,38.4823852687,35.6890682308,67.9811572864,19.2880133549,81.532007347,,38.1084093039,243.57259019,35.3704636488,169.279625714,1361.60926009,15.2376387526,56.7478427422,102.658708688,201.0350647,36.040564654,13.6883892207,93.3308524952,110.942612267,119.266654025,42.2629727352,215.223071884,,466.499517159,972.463822559,,44.0011740118,98.1585561727,96.1922348752,70.2228857918,48.629151461,81.4465416999,10.7968715941,,62.9983178549,,86.8113475466,17.3362208878,1005.1501597,,36.8647639032,101.314518468,20.3285088746,100.161985425,111.351533643,24.3750517674,649.212150199,62.7315655986,98.6546776205,155.835049113,203.528121225,47.1805523683,18.1171780931,136.835103077,370.225082349,33.8910836928,,90.2588974831,62.8655555496,17.8596765138,,12.0017037604,328.623342788,114.11231883,91.492801724,142.398052714,629.584993358,57.950080756,20.0553734414,73.8179885201,1583.45391664,27.3805303214,32.4762610826,272.292734668,194.62821647,41.7094962905,,38.1059040561,19.0980210084,,199.679792374,177.853680624,13.1143457533,82.1870662121,112.862383466,327.891303579,165.944206807
"Occupation Metrics","Chemical Equipment Operators and Tenders",Females,,,,,,,,0,,,,0,,0,,,,,,0,,,,,0,0,,0,0,,0,,19.2880650878,0,10.0353588496,,,,0,,0,0,,0,,0,14.2799049852,0,0,0,,0,0,0,,,,,,0,,,,0,0,,0,0,0,0,0,,,,17.3228345124,0,,,55.2001467709,,0,142.443123877,,0,0,,,0,,10.8904064225,0,0,,,
"Occupation Metrics","Production Workers, All Other",Females,137.211436298,131.638250971,14.1937045963,,156.113470543,203.161037428,27.7581366427,,18.5654186971,10.8313723101,32.1681047901,11.349529986,34.9797672141,,13.3894237753,134.901716938,18.2176557524,70.8659627317,871.607585414,,35.7963431174,43.3127389517,73.2313369238,18.2228385184,,45.4061867215,52.5212474017,59.2967316221,10.0793044387,95.8108202785,,236.558875416,472.134534916,,23.5279579449,33.8732237743,24.9935744372,36.9851321791,21.7107738756,41.6475785112,,,15.0294647745,,35.2163084915,11.009741507,466.137581871,,24.9380106338,45.1035746242,13.6933460169,56.4689710807,48.6243921637,11.8775600576,279.362142722,30.7876085685,58.2559483098,60.5617985949,85.3568056814,25.654276667,,80.8725850191,116.331429399,38.0376846506,,45.9714898469,30.5644466299,12.3287603314,,,165.673542619,74.3061103471,52.1910356021,95.6266190283,318.465947602,24.0676892151,10.7446147779,41.5612226621,990.645549612,11.4810763779,15.5859365135,118.072328747,109.227745658,21.2165677271,,10.0740922586,,,70.5676104986,68.7751571154,,38.1209175713,52.3157070681,237.014450506,83.2666746476
"Occupation Metrics","Chemical Equipment Operators and Tenders","Males % of Occupation",0.909090909091,,0.8125,,0.894736842105,0.886363636364,0.916666666667,0,0.925925925926,,0.846153846154,,,0,,0.947368421053,,0.933333333333,0.924528301887,0,0.722222222222,,,0.857142857143,0,,,,,0.966666666667,0,0.882352941176,0.897849462366,,0.777777777778,0.916666666667,0.957575757576,0.890410958904,,,0,0,0.948717948718,0,,,0.861386138614,0,,,,,,,0.933333333333,0.933333333333,1,0.875,0.947368421053,,,0.861111111111,0.872340425532,0,,0.928571428571,,,,,,0.925925925926,,,0.875,,,0.875,0.891944990177,,,0.906167979003,0.923076923077,,0,0.923076923077,0.923076923077,0,,0.898148148148,0,,,0.866666666667,0.857142857143
"Occupation Metrics","Production Workers, All Other","Males % of Occupation",0.756660746004,0.571428571429,0.631578947368,,0.71376146789,0.692889561271,0.70652173913,,0.666666666667,0.765957446809,0.68,0.612903225806,0.700854700855,,0.745098039216,0.645502645503,0.648148148148,0.704166666667,0.609941782356,0.652173913043,0.612903225806,0.705479452055,0.733576642336,0.666666666667,0.636363636364,0.669064748201,0.680981595092,0.664804469274,0.807692307692,0.691318327974,,0.662873399716,0.672664359862,,0.647058823529,0.742424242424,0.793388429752,0.654205607477,0.7,0.658536585366,0.733333333333,,0.807692307692,,0.713114754098,0.607142857143,0.683208701564,,0.596774193548,0.691780821918,0.588235294118,0.636942675159,0.69375,0.666666666667,0.698600645856,0.670212765957,0.630573248408,0.722222222222,0.705882352941,0.643835616438,0.692307692308,0.628440366972,0.759753593429,0.472222222222,,0.661764705882,0.677419354839,0.6,,0.545454545455,0.665991902834,0.606382978723,0.631944444444,0.596638655462,0.664556962025,0.707317073171,0.645161290323,0.64347826087,0.614996114996,0.692307692308,0.666666666667,0.697435897436,0.641447368421,0.666666666667,,0.791666666667,0.76,,0.740740740741,0.720647773279,0.8125,0.683333333333,0.684848484848,0.580530973451,0.666666666667
"Occupation Metrics","Chemical Equipment Operators and Tenders","Females % of Occupation",,,,,,,,0,,,,,,0,,,,,,0,,,,,0,,,,,,0,,0.102150537634,,0.222222222222,,,,,,0,0,,0,,,0.138613861386,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,0.125,,,,0.108055009823,,,0.0931758530184,,,0,,,0,,0.101851851852,0,,,,
"Occupation Metrics","Production Workers, All Other","Females % of Occupation",0.243339253996,0.428571428571,0.368421052632,,0.28623853211,0.307110438729,0.304347826087,,0.333333333333,0.234042553191,0.32,0.354838709677,0.299145299145,,0.254901960784,0.357142857143,0.333333333333,0.295833333333,0.390506045678,,0.387096774194,0.294520547945,0.266423357664,0.333333333333,,0.323741007194,0.325153374233,0.329608938547,0.192307692308,0.308681672026,,0.337126600284,0.326643598616,,0.352941176471,0.257575757576,0.206611570248,0.345794392523,0.314285714286,0.341463414634,,,0.192307692308,,0.286885245902,0.392857142857,0.316791298436,,0.403225806452,0.308219178082,0.411764705882,0.356687898089,0.30625,0.333333333333,0.300322927879,0.329787234043,0.369426751592,0.282407407407,0.294117647059,0.356164383562,,0.371559633028,0.23819301848,0.527777777778,,0.338235294118,0.333333333333,0.4,,,0.336032388664,0.393617021277,0.361111111111,0.403361344538,0.335443037975,0.292682926829,0.354838709677,0.365217391304,0.385003885004,0.282051282051,0.333333333333,0.302564102564,0.358552631579,0.333333333333,,0.208333333333,,,0.262962962963,0.279352226721,,0.316666666667,0.315151515152,0.419469026549,0.333333333333
"Occupation Metrics","Chemical Equipment Operators and Tenders","Age 14-18",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0
"Occupation Metrics","Production Workers, All Other","Age 14-18",,,0,0,,,,0,0,0,,0,,0,,,,,13.037329186,0,,,,,,,,,,,0,,,0,,,,0,,,0,0,0,0,,,12.4493462524,0,0,,0,,,0,,,,,,,0,,14.8758053772,,0,,,,0,,,,0,,,,0,,20.3327017705,0,,,,0,0,,,0,,,0,,,,
"Occupation Metrics","Chemical Equipment Operators and Tenders","Age 19-21",0,0,0,0,,,0,0,,0,0,0,0,0,0,,0,,,0,0,0,0,,0,0,0,0,0,,0,,,0,,,,,0,0,0,0,,0,,0,,0,0,0,,0,0,0,0,0,0,,,0,0,,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,0,0,24.5400655015,,0,0,,,0,,,0,0,0,0,0
